type,src_or_text,pair
image,imagens/imagem1.jpeg,image1
word,LION,image1
image,imagens/imagem2.jpeg,image2
word,ELEPHANT,image2
image,imagens/imagem3.jpeg,image3
word,BUTTERFLY,image3
image,imagens/imagem4.jpeg,image4
word,ANT,image4
image,imagens/imagem5.jpeg,image5
word,MAN,image5
image,imagens/imagem6.jpeg,image6
word,WOMAN,image6
image,imagens/imagem7.jpeg,image7
word,WORLD,image7
image,imagens/imagem8.jpeg,image8
word,GIFT,image8
image,imagens/imagem9.jpeg,image9
word,RESPONSIBILITY,image9
image,imagens/imagem10.jpeg,image10
word,GOOD,image10
