type,src_or_text,pair
image,imagens/imagem1.jpeg,image1
word,GOD,image1
image,imagens/imagem2.jpeg,image2
word,GOOD,image2
image,imagens/imagem3.jpeg,image3
word,ARK,image3
image,imagens/imagem4.jpeg,image4
word,FAMILY,image4
image,imagens/imagem5.jpeg,image5
word,ANIMALS,image5
image,imagens/imagem6.jpeg,image6
word,RAIN,image6
image,imagens/imagem7.jpeg,image7
word,WATER,image7
image,imagens/imagem8.jpeg,image8
word,SAFE,image8
image,imagens/imagem9.jpeg,image9
word,WORLD,image9
image,imagens/imagem10.jpeg,image10
word,STRONG,image10

