type,src_or_text,pair
image,imagens/imagem1.jpeg,image1
word,YOUNG,image1
image,imagens/imagem2.jpeg,image2
word,BROTHERS,image2
image,imagens/imagem3.jpeg,image3
word,LIKE,image3
image,imagens/imagem4.jpeg,image4
word,SPECIAL,image4
image,imagens/imagem5.jpeg,image5
word,DREAM,image5
image,imagens/imagem6.jpeg,image6
word,LEADER,image6
image,imagens/imagem7.jpeg,image7
word,HAPPY,image7
image,imagens/imagem8.jpeg,image8
word,PLAN,image8
image,imagens/imagem9.jpeg,image9
word,AWAY,image9
image,imagens/imagem10.jpeg,image10
word,SELL,image10


