type,src_or_text,pair
image,imagens/imagem1.jpeg,image1
word,DOVE,image1
image,imagens/imagem2.jpeg,image2
word,LAND,image2
image,imagens/imagem3.jpeg,image3
word,OLIVE,image3
image,imagens/imagem4.jpeg,image4
word,BRANCH,image4
image,imagens/imagem5.jpeg,image5
word,MOUNTAIN,image5
image,imagens/imagem6.jpeg,image6
word,PRAYING,image6
image,imagens/imagem7.jpeg,image7
word,THANKFUL,image7
image,imagens/imagem8.jpeg,image8
word,PROMISE,image8
image,imagens/imagem9.jpeg,image9
word,RAINBOW,image9
image,imagens/imagem10.jpeg,image10
word,SKY,image10
